


















Evaluating........................................................................................................................epoch: 101, time: 0.0h 3.0min 33.192298412323sec, valid (NDCG@10: 0.5699, HR@10: 0.8104), test (NDCG@10: 0.5427, HR@10: 0.7876)
Evaluating........................................................................................................................epoch: 101, time: 0.0h 3.0min 33.192298412323sec, valid (NDCG@10: 0.5699, HR@10: 0.8104), test (NDCG@10: 0.5427, HR@10: 0.7876)
Evaluating........................................................................................................................epoch: 101, time: 0.0h 3.0min 33.192298412323sec, valid (NDCG@10: 0.5699, HR@10: 0.8104), test (NDCG@10: 0.5427, HR@10: 0.7876)
Evaluating........................................................................................................................epoch: 101, time: 0.0h 3.0min 33.192298412323sec, valid (NDCG@10: 0.5699, HR@10: 0.8104), test (NDCG@10: 0.5427, HR@10: 0.7876)
Evaluating........................................................................................................................epoch: 101, time: 0.0h 3.0min 33.192298412323sec, valid (NDCG@10: 0.5699, HR@10: 0.8104), test (NDCG@10: 0.5427, HR@10: 0.7876)
Evaluating........................................................................................................................epoch: 101, time: 0.0h 3.0min 33.192298412323sec, valid (NDCG@10: 0.5699, HR@10: 0.8104), test (NDCG@10: 0.5427, HR@10: 0.7876)
Evaluating........................................................................................................................epoch: 101, time: 0.0h 3.0min 33.192298412323sec, valid (NDCG@10: 0.5699, HR@10: 0.8104), test (NDCG@10: 0.5427, HR@10: 0.7876)
Evaluating........................................................................................................................epoch: 101, time: 0.0h 3.0min 33.192298412323sec, valid (NDCG@10: 0.5699, HR@10: 0.8104), test (NDCG@10: 0.5427, HR@10: 0.7876)
Evaluating........................................................................................................................epoch: 101, time: 0.0h 3.0min 33.192298412323sec, valid (NDCG@10: 0.5699, HR@10: 0.8104), test (NDCG@10: 0.5427, HR@10: 0.7876)
Evaluating........................................................................................................................epoch: 101, time: 0.0h 3.0min 33.192298412323sec, valid (NDCG@10: 0.5699, HR@10: 0.8104), test (NDCG@10: 0.5427, HR@10: 0.7876)
Evaluating........................................................................................................................epoch: 101, time: 0.0h 3.0min 33.192298412323sec, valid (NDCG@10: 0.5699, HR@10: 0.8104), test (NDCG@10: 0.5427, HR@10: 0.7876)
Evaluating........................................................................................................................epoch: 101, time: 0.0h 3.0min 33.192298412323sec, valid (NDCG@10: 0.5699, HR@10: 0.8104), test (NDCG@10: 0.5427, HR@10: 0.7876)
Evaluating........................................................................................................................epoch: 101, time: 0.0h 3.0min 33.192298412323sec, valid (NDCG@10: 0.5699, HR@10: 0.8104), test (NDCG@10: 0.5427, HR@10: 0.7876)
Evaluating........................................................................................................................epoch: 101, time: 0.0h 3.0min 33.192298412323sec, valid (NDCG@10: 0.5699, HR@10: 0.8104), test (NDCG@10: 0.5427, HR@10: 0.7876)
Evaluating........................................................................................................................epoch: 101, time: 0.0h 3.0min 33.192298412323sec, valid (NDCG@10: 0.5699, HR@10: 0.8104), test (NDCG@10: 0.5427, HR@10: 0.7876)
Evaluating........................................................................................................................epoch: 101, time: 0.0h 3.0min 33.192298412323sec, valid (NDCG@10: 0.5699, HR@10: 0.8104), test (NDCG@10: 0.5427, HR@10: 0.7876)
Evaluating........................................................................................................................epoch: 101, time: 0.0h 3.0min 33.192298412323sec, valid (NDCG@10: 0.5699, HR@10: 0.8104), test (NDCG@10: 0.5427, HR@10: 0.7876)
Evaluating........................................................................................................................epoch: 101, time: 0.0h 3.0min 33.192298412323sec, valid (NDCG@10: 0.5699, HR@10: 0.8104), test (NDCG@10: 0.5427, HR@10: 0.7876)
